le,x,y,pol
22710,54,49,1
18555,123,16,1
6607,79,51,0
7034,122,54,0
18169,121,13,1
6892,108,53,0
6335,63,49,0
5948,60,46,0
6206,62,48,0
5962,74,46,0
6745,89,52,0
18098,50,13,1
6746,90,52,0
6486,86,50,0
6618,90,51,0
5937,49,46,0
21283,35,38,1
6645,117,51,0
6763,107,52,0
6890,106,53,0
5679,47,44,0
19824,112,26,1
6340,68,49,0
18040,120,12,1
6227,83,48,0
6628,100,51,0
6478,78,50,0
6350,78,49,0
6077,61,47,0
6196,52,48,0
5944,56,46,0
21322,74,38,1
18168,120,13,1
5808,48,45,0
5808,48,45,0
6482,82,50,0
7025,113,54,0
18167,119,13,1
6883,99,53,0
7164,124,55,0
20398,46,31,1
7026,114,54,0
6757,101,52,0
6757,101,52,0
6895,111,53,0
6065,49,47,0
6065,49,47,0
6606,78,51,0
21038,46,36,1
21038,46,36,1
6758,102,52,0
23341,45,54,1
21215,95,37,1
6092,76,47,0
7033,121,54,0
19678,94,25,1
6646,118,51,0
5680,48,44,0
18170,122,13,1
18170,122,13,1
125,125,0,0
18425,121,15,1
7162,122,55,0
18428,124,15,1
6200,56,48,0
19248,48,22,1
17076,52,5,1
6639,111,51,0
6635,107,51,0
21421,45,39,1
5549,45,43,0
6903,119,53,0
6904,120,53,0
16948,52,4,1
6498,98,50,0
124,124,0,0
5945,57,46,0
5945,57,46,0
6345,73,49,0
6345,73,49,0
6475,75,50,0
19504,48,24,1
6365,93,49,0
6394,122,49,0
18427,123,15,1
22324,52,46,1
6748,92,52,0
21037,45,36,1
19888,48,27,1
6484,84,50,0
6070,54,47,0
17970,50,12,1
506,122,3,0
6477,77,50,0
19759,47,26,1
19837,125,26,1
6896,112,53,0
6238,94,48,0
7035,123,54,0
7035,123,54,0
6203,59,48,0
6203,59,48,0
20399,47,31,1
20399,47,31,1
6224,80,48,0
6744,88,52,0
6213,69,48,0
6481,81,50,0
5422,46,42,0
18424,120,15,1
21293,45,38,1
7030,118,54,0
6072,56,47,0
6242,98,48,0
6615,87,51,0
6615,87,51,0
18555,123,16,1
6344,72,49,0
6613,85,51,0
6476,76,50,0
6476,76,50,0
379,123,2,0
6891,107,53,0
18429,125,15,1
6066,50,47,0
6337,65,49,0
6897,113,53,0
6474,74,50,0
5551,47,43,0
1399,119,10,0
6241,97,48,0
6241,97,48,0
6470,70,50,0
5829,69,45,0
1271,119,9,0
6612,84,51,0
5936,48,46,0
17532,124,8,1
3776,64,29,0
6611,83,51,0
6751,95,52,0
7163,123,55,0
6888,104,53,0
7024,112,54,0
6351,79,49,0
6619,91,51,0
6887,103,53,0
6624,96,51,0
6480,80,50,0
6205,61,48,0
20526,46,32,1
19887,47,27,1
6893,109,53,0
6393,121,49,0
5812,52,45,0
7027,115,54,0
6618,90,51,0
6747,91,52,0
23215,47,53,1
23215,47,53,1
6487,87,50,0
21549,45,40,1
6761,105,52,0
6327,55,49,0
6327,55,49,0
6881,97,53,0
6363,91,49,0
6333,61,49,0
6742,86,52,0
251,123,1,0
6752,96,52,0
6334,62,49,0
17533,125,8,1
6483,83,50,0
6755,99,52,0
7034,122,54,0
6469,69,50,0
16565,53,1,1
7025,113,54,0
6488,88,50,0
6204,60,48,0
6464,64,50,0
6330,58,49,0
25502,30,71,1
6195,51,48,0
17715,51,10,1
5943,55,46,0
16820,52,3,1
16820,52,3,1
18992,48,20,1
6900,116,53,0
18167,119,13,1
1744,80,13,0
6885,101,53,0
6082,66,47,0
6335,63,49,0
17843,51,11,1
7498,74,58,0
6741,85,52,0
6486,86,50,0
6884,100,53,0
6482,82,50,0
7033,121,54,0
18168,120,13,1
6223,79,48,0
6899,115,53,0
6908,124,53,0
6892,108,53,0
19376,48,23,1
6349,77,49,0
6756,100,52,0
7026,114,54,0
7028,116,54,0
7028,116,54,0
5940,52,46,0
6636,108,51,0
6093,77,47,0
867,99,6,0
6647,119,51,0
6067,51,47,0
6763,107,52,0
6609,81,51,0
