le,x,y,pol
10993,113,85,0
20742,6,34,1
23856,48,58,1
13921,97,108,0
23802,122,57,1
23036,124,51,1
13854,30,108,0
28770,98,96,1
10811,59,84,0
23680,0,57,1
12525,109,97,0
12311,23,96,0
26708,84,80,1
23689,9,57,1
22536,8,48,1
30223,15,108,1
28635,91,95,1
8240,48,64,0
29808,112,104,1
24373,53,62,1
197,69,1,0
25181,93,68,1
16712,72,2,1
13488,48,105,0
10278,38,80,0
23684,4,57,1
22275,3,46,1
26801,49,81,1
27690,42,88,1
22961,49,51,1
23822,14,58,1
27381,117,85,1
25418,74,70,1
11904,0,93,0
29557,117,102,1
28143,111,91,1
29553,113,102,1
8590,14,67,0
25203,115,68,1
30025,73,106,1
19128,56,21,1
27958,54,90,1
5693,61,44,0
26923,43,82,1
8242,50,64,0
28910,110,97,1
12018,114,93,0
24913,81,66,1
2688,0,21,0
28393,105,93,1
29047,119,98,1
20923,59,35,1
10043,59,78,0
29304,120,100,1
29302,118,100,1
27840,64,89,1
29368,56,101,1
27510,118,86,1
7105,65,55,0
10415,47,81,0
13293,109,103,0
11177,41,87,0
26731,107,80,1
4664,56,36,0
29614,46,103,1
26484,116,78,1
29294,110,100,1
27029,21,83,1
11188,52,87,0
14049,97,109,0
1479,71,11,0
26505,9,79,1
29002,74,98,1
27446,54,86,1
16505,121,0,1
26615,119,79,1
14289,81,111,0
29227,43,100,1
9390,46,73,0
26037,53,75,1
28935,7,98,1
27224,88,84,1
22409,9,47,1
24367,47,62,1
8179,115,63,0
24177,113,60,1
12494,78,97,0
21132,12,37,1
5939,51,46,0
24793,89,65,1
7970,34,62,0
14178,98,110,0
28514,98,94,1
20492,12,32,1
29943,119,105,1
26416,48,78,1
3769,57,29,0
20620,12,33,1
25616,16,72,1
25189,101,68,1
14058,106,109,0
21876,116,42,1
21690,58,41,1
30563,99,110,1
13420,108,104,0
5114,122,39,0
19208,8,22,1
13100,44,102,0
26428,60,78,1
24524,76,63,1
21784,24,42,1
26043,59,75,1
29235,51,100,1
11671,23,91,0
25718,118,72,1
29011,83,98,1
30687,95,111,1
21519,15,40,1
29611,43,103,1
29611,43,103,1
29925,101,105,1
26480,112,78,1
13179,123,102,0
28874,74,97,1
27962,58,90,1
11570,50,90,0
26712,88,80,1
25235,19,69,1
25292,76,69,1
3456,0,27,0
18622,62,17,1
25296,80,69,1
7863,55,61,0
11949,45,93,0
17170,18,6,1
7097,57,55,0
26104,120,75,1
29577,9,103,1
16711,71,2,1
12461,45,97,0
26608,112,79,1
30702,110,111,1
25456,112,70,1
7080,40,55,0
26724,100,80,1
28205,45,92,1
25406,62,70,1
28713,41,96,1
27261,125,84,1
6586,58,51,0
21568,64,40,1
3205,5,25,0
12694,22,99,0
22538,10,48,1
26993,113,82,1
28279,119,92,1
2242,66,17,0
23684,4,57,1
7096,56,55,0
